,idk,number,adress,zipcode,city,idk3,lat,long
21290,775040010U-27,27,Ham de Boisroux,77710,Villemaréchal,CAD,48.284738,2.869712
21292,771610080L-18,18,Ham du Bois Huard,77130,Dormelles,CAD,48.295859,2.877879
21293,771610080L-7,7,Ham du Bois Huard,77130,Dormelles,CAD,48.295897,2.8782330000000003
21306,774650480Z-28,28,Rue de Verdun,77940,Thoury-Férottes,C+O,48.28873,2.941591
21307,774650200V-82,82,Rue de Flagy,77940,Thoury-Férottes,C+O,48.288821,2.946571
21308,77465B040C-5140,5140,Ferme du Moulin Neuf,77940,Thoury-Férottes,CAD,48.287774,2.9479349999999998
21309,775310193A-79,79,Avenue du Général de Gaulle,77940,Voulx,C+O,48.288033,2.9576569999999998
21310,775310382F-3,3,Chemin des Sablons,77940,Voulx,C+O,48.287084,2.959637
21312,77531B011J-7,7,Le Bois Martelet,77940,Voulx,CAD,48.287884000000005,2.9697970000000002
21313,775310225K-7,7,Rue du Limosin,77940,Voulx,C+O,48.287968,2.9740029999999997
21314,77531B096B-5642A,5642A,Les Souchots,77940,Voulx,CAD,48.288963,2.9760009999999997
21322,771580242A-6,6,Rue de la Plaine,77940,Diant,CAD,48.293339,3.0200009999999997
21323,771580312B-6,6,Rue de la Tasse,77940,Diant,CAD,48.292590999999994,3.020954
21554,91016B002T-9001,9001,Bassonville Nord,91670,Angerville,CAD,48.300078000000006,1.9902330000000001
21556,910160320G-40,40,Rue du Pithiviers,91670,Angerville,C+O,48.301823,2.001878
21557,910160036Y-1,1,Rue de la Chapelle,91670,Angerville,C+O,48.294048,2.0094939999999997
21558,91016B079B-2,2,Villeneuve,91670,Angerville,CAD,48.2929,2.009593
21571,913900160G-22,22,Rue des Bordes,91660,Le Mérévillois,OSM,48.303596999999996,2.059177
21640,91069B015B-5032,5032,Le Chem de Gollainville,91720,Boigneville,CAD,48.321704,2.3904349999999996
21649,770600055Y-112B,112BIS,Rue des Roches,77760,Buthiers,C+O,48.295003,2.427238
